"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Trade in goods by exporter characteristics, by enterprise employment size and country of destination",12100095,228-0074,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1210009501",,"CURRENT - a cube available to the public and that is current",Annual,2010-01-01,2019-01-01,4

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
1,Geography,,
2,Estimates,,
3,"Enterprise employment size",2,
4,"Country of destination",,

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
1,Canada,[11124],1,,,,
2,"Value of exports",,1,,,1;5,
2,"Number of exporting enterprises",,2,,,4,
3,"All enterprise employment sizes",,1,,,,
3,"Small and medium-sized enterprises (0 to 499 employees)",,2,1,,3,
3,"0 or unreported employees",,3,2,,,
3,"1 to 9 employees",,4,2,,,
3,"10 to 49 employees",,5,2,,,
3,"50 to 99 employees",,6,2,,,
3,"100 to 249 employees",,7,2,,,
3,"250 to 499 employees",,8,2,,,
3,"Large enterprises (500 or more employees)",,9,1,,,
4,"All countries",,1,,,,
4,Europe,,2,1,,,
4,Belgium,,3,2,,,
4,Bulgaria,,4,2,,,
4,"Czech Republic",,5,2,,,
4,Denmark,,6,2,,,
4,Germany,,7,2,,,
4,Estonia,,8,2,,,
4,Ireland,,9,2,,,
4,Greece,,10,2,,,
4,Spain,,11,2,,,
4,France,,12,2,,,
4,Italy,,13,2,,,
4,Cyprus,,14,2,,,
4,Latvia,,15,2,,,
4,Lithuania,,16,2,,,
4,Luxembourg,,17,2,,,
4,Hungary,,18,2,,,
4,Malta,,19,2,,,
4,Netherlands,,20,2,,,
4,Austria,,21,2,,,
4,Poland,,22,2,,,
4,Portugal,,23,2,,,
4,Romania,,24,2,,,
4,Slovenia,,25,2,,,
4,Slovakia,,26,2,,,
4,Finland,,27,2,,,
4,Sweden,,28,2,,,
4,"United Kingdom",,29,2,,,
4,Iceland,,30,2,,,
4,Norway,,31,2,,,
4,Russia,,32,2,,,
4,Switzerland,,33,2,,,
4,Turkey,,34,2,,,
4,Albania,,35,2,,,
4,Armenia,,36,2,,,
4,Azerbaijan,,37,2,,,
4,"Bosnia and Herzegovina",,38,2,,,
4,Belarus,,39,2,,,
4,Georgia,,40,2,,,
4,Kyrgyzstan,,41,2,,,
4,Kazakhstan,,42,2,,,
4,"Republic of Moldova",,43,2,,,
4,Montenegro,,44,2,,,
4,Macedonia,,45,2,,,
4,Serbia,,46,2,,,
4,Tajikistan,,47,2,,,
4,Turkmenistan,,48,2,,,
4,Ukraine,,49,2,,,
4,Uzbekistan,,50,2,,,
4,Andorra,,51,2,,,
4,"Faeroe Islands",,52,2,,,
4,Gibraltar,,53,2,,,
4,Croatia,,54,2,,,
4,Africa,,55,1,,,
4,"South Africa",,56,55,,,
4,Angola,,57,55,,,
4,"Burkina Faso",,58,55,,,
4,Burundi,,59,55,,,
4,Benin,,60,55,,,
4,"Bouvet Island",,61,55,,,
4,Botswana,,62,55,,,
4,"Democratic Republic of the Congo",,63,55,,,
4,"Central African Republic",,64,55,,,
4,Congo,,65,55,,,
4,"Côte d'Ivoire",,66,55,,,
4,Cameroon,,67,55,,,
4,"Cabo Verde",,68,55,,,
4,Djibouti,,69,55,,,
4,Algeria,,70,55,,,
4,"Western Sahara",,71,55,,,
4,Gabon,,72,55,,,
4,Ghana,,73,55,,,
4,Gambia,,74,55,,,
4,Guinea,,75,55,,,
4,"Equatorial Guinea",,76,55,,,
4,"Guinea Bissau",,77,55,,,
4,Kenya,,78,55,,,
4,Comoros,,79,55,,,
4,Liberia,,80,55,,,
4,Lesotho,,81,55,,,
4,Morocco,,82,55,,,
4,Madagascar,,83,55,,,
4,Mali,,84,55,,,
4,Mauritania,,85,55,,,
4,Mauritius,,86,55,,,
4,Malawi,,87,55,,,
4,Mozambique,,88,55,,,
4,Namibia,,89,55,,,
4,Niger,,90,55,,,
4,Nigeria,,91,55,,,
4,Rwanda,,92,55,,,
4,"Saint Helena",,93,55,,,
4,"Sierra Leone",,94,55,,,
4,Senegal,,95,55,,,
4,"Sao Tome and Principe",,96,55,,,
4,Swaziland,,97,55,,,
4,Chad,,98,55,,,
4,"French Southern Territories",,99,55,,,
4,Togo,,100,55,,,
4,Tunisia,,101,55,,,
4,"United Republic of Tanzania",,102,55,,,
4,Uganda,,103,55,,,
4,Mayotte,,104,55,,,
4,Zambia,,105,55,,,
4,Zimbabwe,,106,55,,,
4,Seychelles,,107,55,,,
4,"South Sudan",,108,55,,,
4,"North America",,109,1,,,
4,"United States",,110,109,,,
4,Mexico,,111,109,,,
4,"Central America, South America, and Caribbean",,112,1,,,
4,Argentina,,113,112,,,
4,Brazil,,114,112,,,
4,Chile,,115,112,,,
4,Venezuela,,116,112,,,
4,"Antigua and Barbuda",,117,112,,,
